order_id,order_date,order_datetime,day_index,customer_id,is_first_time_customer,customer_account_age_days,customer_prior_orders,payment_mode,order_value,item_category,pincode,promo_code_used,device_id,order_hour,phase,drift_weight,device_order_count_24h,is_rto,pincode_rolling_rto_rate
ORD0000016,2026-01-01,2026-01-01 00:05:00,0,CUST010227,True,0,0,COD,217.69,grocery,PIN0020,False,DEV007399,0,pre_drift,0.0,0,0,0.15
ORD0000003,2026-01-01,2026-01-01 00:11:00,0,CUST012927,True,0,0,COD,836.14,fashion,PIN0008,True,DEV005487,0,pre_drift,0.0,0,0,0.15
ORD0000005,2026-01-01,2026-01-01 00:22:00,0,CUST011915,True,0,0,COD,7602.64,electronics,PIN0032,False,DEV000630,0,pre_drift,0.0,0,1,0.15
ORD0000061,2026-01-01,2026-01-01 00:24:00,0,CUST010885,True,0,0,COD,2832.91,electronics,PIN0003,False,DEV004181,0,pre_drift,0.0,0,0,0.15
ORD0000152,2026-01-01,2026-01-01 00:30:00,0,CUST012637,True,0,0,COD,1301.67,electronics,PIN0010,False,DEV006926,0,pre_drift,0.0,0,1,0.15
ORD0000236,2026-01-01,2026-01-01 00:31:00,0,CUST013919,True,0,0,COD,771.68,fashion,PIN0026,False,DEV006988,0,pre_drift,0.0,0,1,0.15
ORD0000036,2026-01-01,2026-01-01 00:42:00,0,CUST009627,True,0,0,COD,2162.83,home,PIN0008,False,DEV006422,0,pre_drift,0.0,0,0,0.15
ORD0000034,2026-01-01,2026-01-01 00:42:00,0,CUST004677,True,0,0,COD,234.19,mobile_accessories,PIN0029,False,DEV001763,0,pre_drift,0.0,0,0,0.15
ORD0000234,2026-01-01,2026-01-01 00:46:00,0,CUST004080,True,0,0,COD,541.15,mobile_accessories,PIN0045,False,DEV003322,0,pre_drift,0.0,0,0,0.15
ORD0000205,2026-01-01,2026-01-01 00:50:00,0,CUST003573,True,0,0,COD,615.13,fashion,PIN0039,True,DEV006263,0,pre_drift,0.0,0,0,0.15
ORD0000028,2026-01-01,2026-01-01 00:56:00,0,CUST003604,True,0,0,COD,1090.31,fashion,PIN0038,False,DEV001631,0,pre_drift,0.0,0,0,0.15
ORD0000109,2026-01-01,2026-01-01 00:59:00,0,CUST008058,True,0,0,COD,774.19,beauty,PIN0010,False,DEV004681,0,pre_drift,0.0,0,0,0.15
ORD0000200,2026-01-01,2026-01-01 00:59:00,0,CUST011298,True,0,0,COD,2481.79,electronics,PIN0013,False,DEV003310,0,pre_drift,0.0,0,1,0.15
ORD0000059,2026-01-01,2026-01-01 01:02:00,0,CUST001426,True,0,0,COD,1181.7,mobile_accessories,PIN0025,False,DEV005963,1,pre_drift,0.0,0,1,0.15
ORD0000157,2026-01-01,2026-01-01 01:05:00,0,CUST008371,True,0,0,COD,923.04,electronics,PIN0044,False,DEV003634,1,pre_drift,0.0,0,0,0.15
ORD0000233,2026-01-01,2026-01-01 01:12:00,0,CUST003910,True,0,0,COD,423.16,mobile_accessories,PIN0016,True,DEV001938,1,pre_drift,0.0,0,0,0.15
ORD0000054,2026-01-01,2026-01-01 01:18:00,0,CUST000844,True,0,0,COD,3503.67,home,PIN0023,True,DEV002170,1,pre_drift,0.0,0,0,0.15
